intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
25,5g,Driving-7,tcp,1,1,84,153433,326,0,1077,8878,1447,361812,15801,elastic,2000,640,360,640x360,0.333,61.242,179566.971,2.282,2.722
25,5g,Driving-7,tcp,1,1,85,155192,291,0,1077,9388,1366,341520,16043,elastic,2000,640,360,640x360,0.324,61.143,180644.893,2.268,2.73
25,5g,Driving-7,tcp,1,1,86,156716,62,0,1801,55587,1723,430805,16520,elastic,2000,736,414,736x414,0.333,61.107,181722.815,2.262,2.751
25,5g,Driving-7,tcp,1,1,87,158781,608,0,1801,5557,1689,422344,16455,elastic,2000,736,414,736x414,0.341,61.07,183524.149,2.257,2.766
25,5g,Driving-7,tcp,1,1,88,160746,482,0,1801,8803,2121,530389,16491,elastic,2000,736,414,736x414,0.349,61.033,185325.483,2.252,2.782
25,5g,Driving-7,tcp,1,1,89,162970,694,0,1801,8290,2876,719186,16268,elastic,2000,736,414,736x414,0.357,60.998,187126.817,2.247,2.785
25,5g,Driving-7,tcp,1,1,90,164786,315,0,1801,22578,3556,889009,16452,elastic,2000,736,414,736x414,0.365,60.963,188928.151,2.242,2.815
25,5g,Driving-7,tcp,1,1,91,167116,819,0,2422,8649,3541,885487,16122,elastic,2000,1280,720,1280x720,0.383,60.975,190729.485,2.244,2.833
25,5g,Driving-7,tcp,1,1,92,168839,197,0,1801,42290,4165,1041401,16400,elastic,2000,736,414,736x414,0.39,60.94,191909.786,2.239,2.846
25,5g,Driving-7,tcp,1,1,93,171355,972,0,2422,6823,3316,829037,15885,elastic,2000,1280,720,1280x720,0.407,60.952,193711.12,2.241,2.862
25,5g,Driving-7,tcp,1,1,94,174298,1441,0,2422,3496,2518,629740,14943,elastic,2000,1280,720,1280x720,0.424,60.966,196133.487,2.243,2.906
25,5g,Driving-7,tcp,1,1,95,176489,563,0,1801,11143,3136,784228,14752,elastic,2000,736,414,736x414,0.431,60.932,197313.788,2.238,2.913
25,5g,Driving-7,tcp,1,1,96,178258,162,0,1077,7824,633,158446,14984,elastic,2000,640,360,640x360,0.423,60.849,197668.298,2.226,2.893
25,5g,Driving-7,tcp,1,1,97,180038,225,0,1077,10756,1210,302515,15204,elastic,2000,640,360,640x360,0.416,60.766,198746.22,2.214,2.894
25,5g,Driving-7,tcp,1,1,98,181970,306,0,1077,10138,1551,387795,15273,elastic,2000,640,360,640x360,0.408,60.685,199824.142,2.203,2.895
25,5g,Driving-7,tcp,1,1,99,183817,248,0,1077,7667,950,237683,15426,elastic,2000,640,360,640x360,0.401,60.606,200902.064,2.191,2.892
25,5g,Driving-7,tcp,1,1,100,185938,507,0,1801,10548,2674,668502,15305,elastic,2000,736,414,736x414,0.409,60.58,201979.986,2.187,2.934
25,5g,Driving-7,tcp,1,1,101,188068,531,0,1801,11218,2978,744617,15176,elastic,2000,736,414,736x414,0.416,60.553,203781.32,2.183,2.936
25,5g,Driving-7,tcp,1,1,102,190049,360,0,1801,9914,1784,446138,15195,elastic,2000,736,414,736x414,0.423,60.527,205582.654,2.18,2.943
25,5g,Driving-7,tcp,1,1,103,191982,279,0,1801,9437,1316,329116,15263,elastic,2000,736,414,736x414,0.43,60.501,207383.988,2.176,2.948
25,5g,Driving-7,tcp,1,1,104,194380,766,0,1801,3037,1163,290838,14865,elastic,2000,736,414,736x414,0.438,60.476,209185.322,2.172,2.952
25,5g,Driving-7,tcp,1,1,105,196501,509,0,1077,2571,654,163620,14744,elastic,2000,640,360,640x360,0.431,60.404,209539.832,2.162,2.931
25,5g,Driving-7,tcp,1,1,106,198401,233,0,1077,7564,881,220328,14845,elastic,2000,640,360,640x360,0.425,60.333,210617.754,2.152,2.928
25,5g,Driving-7,tcp,1,1,107,200361,301,0,766,7880,1185,296495,14886,elastic,2000,512,288,512x288,0.412,60.233,211072.428,2.139,2.905
25,5g,Driving-7,tcp,1,1,108,202445,367,0,766,5436,997,249413,14802,elastic,2000,512,288,512x288,0.399,60.144,211838.726,2.126,2.881
25,5g,Driving-7,tcp,1,1,109,204422,279,0,766,5213,727,181823,14826,elastic,2000,512,288,512x288,0.386,60.057,212605.024,2.114,2.838
25,5g,Driving-7,tcp,1,1,110,206357,236,0,1077,5820,686,171713,14892,elastic,2000,640,360,640x360,0.381,59.982,213371.322,2.104,2.843
25,5g,Driving-7,tcp,1,1,111,208343,291,0,1077,6243,908,227109,14906,elastic,2000,640,360,640x360,0.376,59.917,214449.244,2.095,2.837
25,5g,Driving-7,tcp,1,1,112,210373,289,0,1077,4632,669,167332,14877,elastic,2000,640,360,640x360,0.372,59.854,215527.166,2.086,2.834
25,5g,Driving-7,tcp,1,1,113,212299,192,0,1077,3555,341,85326,14951,elastic,2000,640,360,640x360,0.367,59.791,216605.088,2.077,2.82
25,5g,Driving-7,tcp,1,1,114,214266,99,0,766,3896,192,48224,14985,elastic,2000,512,288,512x288,0.356,59.703,217059.762,2.065,2.79
25,5g,Driving-7,tcp,1,1,115,216119,134,0,766,3847,257,64449,15132,elastic,2000,512,288,512x288,0.345,59.624,217826.06,2.054,2.772
25,5g,Driving-7,tcp,1,1,116,218075,170,0,766,3647,310,77510,15176,elastic,2000,512,288,512x288,0.335,59.546,218592.358,2.043,2.741
25,5g,Driving-7,tcp,1,1,117,220087,220,0,766,5106,561,140428,15164,elastic,2000,512,288,512x288,0.325,59.469,219358.656,2.032,2.729
25,5g,Driving-7,tcp,1,1,118,222251,357,0,766,3786,675,168989,15000,elastic,2000,512,288,512x288,0.315,59.394,220124.954,2.021,2.72
25,5g,Driving-7,tcp,1,1,119,224545,469,0,766,4122,966,241667,14707,elastic,2000,512,288,512x288,0.306,59.321,220891.252,2.011,2.714
24,5g,Driving-7,tcp,1,1,1,23,22,0,239,775,8,2132,2000,bba,2000,320,180,320x180,0,51.077,-5760.485,0.24,1.871
24,5g,Driving-7,tcp,1,1,2,1112,339,0,378,3232,547,136969,4000,bba,2000,384,216,384x216,0.419,47.061,-11520.97,0.309,1.882
24,5g,Driving-7,tcp,1,1,3,2287,397,0,378,3630,720,180164,4826,bba,2000,384,216,384x216,0.477,47.223,857.607,0.332,1.895
24,5g,Driving-7,tcp,1,1,4,3265,199,0,378,7067,703,175814,5848,bba,2000,384,216,384x216,0.509,47.304,1236.184,0.344,1.906
24,5g,Driving-7,tcp,1,1,5,4198,158,0,572,7902,624,156067,6915,bba,2000,512,288,512x288,0.493,47.643,1614.761,0.39,2.03
24,5g,Driving-7,tcp,1,1,6,5148,193,0,766,8270,798,199533,7966,bba,2000,512,288,512x288,0.469,48.089,2187.25,0.452,2.105
24,5g,Driving-7,tcp,1,1,7,6133,220,0,1077,8895,978,244633,8981,bba,2000,640,360,640x360,0.424,48.739,2953.548,0.542,2.268
24,5g,Driving-7,tcp,1,1,8,7052,120,0,1801,22880,1372,343203,10063,bba,2000,736,414,736x414,0.276,49.913,4031.47,0.699,2.425
24,5g,Driving-7,tcp,1,1,9,8236,359,0,2422,11691,2098,524678,10879,bba,2000,1280,720,1280x720,0.167,51.289,5832.804,0.891,2.783
24,5g,Driving-7,tcp,1,1,10,9413,373,0,2422,10514,1961,490257,11703,bba,2000,1280,720,1280x720,0.202,52.361,8255.171,1.044,2.926
24,5g,Driving-7,tcp,1,1,11,10578,357,0,2422,11370,2029,507428,12539,bba,2000,1280,720,1280x720,0.279,53.239,10677.538,1.169,3.029
24,5g,Driving-7,tcp,1,1,12,11878,450,0,2422,9133,2055,513769,13240,bba,2000,1280,720,1280x720,0.369,53.97,13099.905,1.274,3.096
24,5g,Driving-7,tcp,1,1,13,13118,406,0,2422,9191,1865,466471,14000,bba,2000,1280,720,1280x720,0.462,54.588,15522.272,1.362,3.157
24,5g,Driving-7,tcp,1,1,14,14285,314,0,2422,9299,1460,365004,14833,bba,2000,1280,720,1280x720,0.553,55.118,17944.639,1.438,3.248
24,5g,Driving-7,tcp,1,1,15,15172,48,0,2422,67130,1611,402782,15947,bba,2000,1280,720,1280x720,0.639,55.578,20367.006,1.503,3.328
24,5g,Driving-7,tcp,1,1,16,16491,436,0,3091,13400,2921,730304,16629,bba,2000,1280,720,1280x720,0.693,56.304,22789.373,1.603,3.387
24,5g,Driving-7,tcp,1,1,17,17917,548,0,3091,12577,3446,861562,17204,bba,2000,1280,720,1280x720,0.757,56.917,25881.279,1.69,3.443
24,5g,Driving-7,tcp,1,1,18,19187,385,0,3091,18828,3624,906118,17934,bba,2000,1280,720,1280x720,0.825,57.462,28973.185,1.768,3.49
24,5g,Driving-7,tcp,1,1,19,20658,582,0,3091,13358,3887,971847,18464,bba,2000,1280,720,1280x720,0.895,57.95,32065.091,1.838,3.525
24,5g,Driving-7,tcp,1,1,20,22137,611,0,3091,12319,3763,940928,18985,bba,2000,1280,720,1280x720,0.963,58.389,35156.997,1.9,3.557
24,5g,Driving-7,tcp,1,1,21,23236,224,0,3091,33946,3802,950514,19887,bba,2000,1280,720,1280x720,1.031,58.786,38248.903,1.957,3.588
24,5g,Driving-7,tcp,1,1,22,25540,1328,0,3918,8975,5959,1489887,19584,bba,2000,1920,1080,1920x1080,1.065,59.446,41340.809,2.046,3.64
24,5g,Driving-7,tcp,1,1,23,27276,782,0,3918,13176,5152,1288032,19849,bba,2000,1920,1080,1920x1080,1.109,60.016,45259.23,2.128,3.669
24,5g,Driving-7,tcp,1,1,24,28993,775,0,3918,14137,5478,1369592,20132,bba,2000,1920,1080,1920x1080,1.16,60.538,49177.651,2.202,3.695
24,5g,Driving-7,tcp,1,1,25,30662,726,0,3918,13699,4972,1243243,20464,bba,2000,1920,1080,1920x1080,1.213,61.019,53096.072,2.271,3.722
24,5g,Driving-7,tcp,1,1,26,32656,1024,0,3918,9458,4842,1210683,20471,bba,2000,1920,1080,1920x1080,1.269,61.462,57014.493,2.334,3.745
