intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
60,5g,Driving-10,tcp,1,1,47,81991,958,0,239,268,128,32152,13211,elastic,2000,320,180,320x180,2.218,68.459,147342.274,3.311,3.332
60,5g,Driving-10,tcp,1,1,48,83692,656,0,239,374,122,30725,13510,elastic,2000,320,180,320x180,2.057,68.011,147581.789,3.247,3.135
60,5g,Driving-10,tcp,1,1,49,85538,724,0,239,405,146,36678,13665,elastic,2000,320,180,320x180,1.908,67.581,147821.304,3.186,3.051
60,5g,Driving-10,tcp,1,1,50,87324,616,0,239,394,121,30369,13880,elastic,2000,320,180,320x180,1.772,67.169,148060.819,3.127,2.908
60,5g,Driving-10,tcp,1,1,51,88856,394,0,239,464,91,22886,14349,elastic,2000,320,180,320x180,1.645,66.773,148300.334,3.07,2.852
60,5g,Driving-10,tcp,1,1,52,90317,346,0,239,466,80,20174,14888,elastic,2000,320,180,320x180,1.526,66.392,148539.849,3.016,2.78
60,5g,Driving-10,tcp,1,1,53,92095,654,0,239,939,307,76817,15110,elastic,2000,320,180,320x180,1.416,66.025,148779.364,2.963,2.739
60,5g,Driving-10,tcp,1,1,54,95140,1893,0,239,425,402,100640,14066,elastic,2000,320,180,320x180,1.313,65.672,149018.879,2.913,2.698
60,5g,Driving-10,tcp,1,1,55,98261,1909,0,239,535,510,127725,12946,elastic,2000,320,180,320x180,1.217,65.332,149258.394,2.864,2.667
60,5g,Driving-10,tcp,1,1,56,100166,737,0,239,1553,572,143125,13041,elastic,2000,320,180,320x180,1.126,65.004,149497.909,2.817,2.639
60,5g,Driving-10,tcp,1,1,57,101591,215,0,239,4243,456,114043,13617,elastic,2000,320,180,320x180,1.04,64.687,149737.424,2.772,2.609
60,5g,Driving-10,tcp,1,1,58,103056,220,0,239,2487,273,68404,14152,elastic,2000,320,180,320x180,0.96,64.381,149976.939,2.728,2.588
60,5g,Driving-10,tcp,1,1,59,105003,474,0,239,1121,265,66439,14205,elastic,2000,320,180,320x180,0.884,64.086,150216.454,2.686,2.562
60,5g,Driving-10,tcp,1,1,60,106585,237,0,378,1614,191,47823,14624,elastic,2000,384,216,384x216,0.82,63.787,150455.969,2.648,2.525
60,5g,Driving-10,tcp,1,1,61,108116,162,0,378,5567,450,112741,15093,elastic,2000,384,216,384x216,0.759,63.527,150834.546,2.611,2.51
60,5g,Driving-10,tcp,1,1,62,109665,328,0,572,4143,679,169893,15545,elastic,2000,512,288,512x288,0.711,63.274,151213.123,2.578,2.519
60,5g,Driving-10,tcp,1,1,63,111033,127,0,572,6680,424,106057,16178,elastic,2000,512,288,512x288,0.665,63.051,151785.612,2.546,2.522
60,5g,Driving-10,tcp,1,1,64,112328,42,0,572,22610,474,118706,16883,elastic,2000,512,288,512x288,0.622,62.835,152358.101,2.515,2.525
60,5g,Driving-10,tcp,1,1,65,113963,366,0,1077,5669,1037,259371,17249,elastic,2000,640,360,640x360,0.602,62.676,152930.59,2.493,2.554
60,5g,Driving-10,tcp,1,1,66,115713,476,0,1801,5223,1243,310807,17500,elastic,2000,736,414,736x414,0.607,62.607,154008.512,2.482,2.59
60,5g,Driving-10,tcp,1,1,67,117264,267,0,1801,7531,1005,251361,17949,elastic,2000,736,414,736x414,0.612,62.536,155809.846,2.472,2.622
60,5g,Driving-10,tcp,1,1,68,118780,254,0,1801,6724,854,213504,18433,elastic,2000,736,414,736x414,0.617,62.467,157611.18,2.462,2.65
60,5g,Driving-10,tcp,1,1,69,120310,222,0,1801,6625,735,183867,18904,elastic,2000,736,414,736x414,0.622,62.4,159412.514,2.453,2.685
60,5g,Driving-10,tcp,1,1,70,122436,781,0,1801,5772,2254,563526,18779,elastic,2000,736,414,736x414,0.627,62.335,161213.848,2.444,2.722
60,5g,Driving-10,tcp,1,1,71,124472,578,0,1801,6646,1920,480195,18743,elastic,2000,736,414,736x414,0.632,62.272,163015.182,2.434,2.747
60,5g,Driving-10,tcp,1,1,72,128255,2369,0,1801,1148,1360,340075,16961,elastic,2000,736,414,736x414,0.637,62.21,164816.516,2.426,2.781
60,5g,Driving-10,tcp,1,1,73,129865,210,0,766,6341,665,166467,17351,elastic,2000,512,288,512x288,0.61,62.068,164547.778,2.403,2.772
60,5g,Driving-10,tcp,1,1,74,131301,109,0,766,7167,390,97652,17916,elastic,2000,512,288,512x288,0.584,61.913,165314.076,2.381,2.753
